,id,tomato1,tomato2,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,finsave,finsaveqty,sexf,books,impulse,finplan,fincompare,impulse_regret,saveatt_item,saveatt,B1,B2,B3,B4,B5,B6,B7,A1,A2,A3,A4,A5,A6,A7,C1,C2,C3,C4,C5,C6,C7,schoolID,treatment,budget_ind,fin02c_,cityd1,cityd2,cityd3,grade8,agemonths,ageyrs,homemum,homedad,cogn1,cogn2,cogn3,cogn4,relmath,migrantbackground,month_APR
0,645,,,3.0,3.0,2.0,3.0,3.0,3.0,,1.0,3.0,2.0,0.0,,1.0,4.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,25,1,50.0,50.0,0,0,1,0.0,166.0,13.833333,1.0,1.0,0.0,0.0,0.0,0.0,-1.9333334,0.0,1.0
1,643,0.0,,1.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,3.0,5.0,5.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,25,1,60.0,12.5,0,0,1,0.0,181.0,15.083333,1.0,1.0,1.0,1.0,0.0,0.0,-0.9333334,0.0,1.0
2,647,0.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,15.0,1.0,1.0,,,,,,,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,25,1,4.0,0.0,0,0,1,0.0,157.0,13.083333,1.0,0.0,1.0,0.0,0.0,0.0,0.0666666,1.0,1.0
3,648,,,3.0,3.0,2.0,4.0,2.0,4.0,4.0,1.0,3.0,3.0,0.0,,1.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,25,1,75.0,,0,0,1,0.0,158.0,13.166667,1.0,1.0,1.0,0.0,0.0,0.0,0.0666666,1.0,1.0
4,640,0.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,100.0,0.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,1.0,2.0,3.0,25,1,30.0,25.0,0,0,1,0.0,178.0,14.833333,1.0,1.0,0.0,0.0,0.0,0.0,1.0666666,0.0,1.0
5,642,0.0,,3.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,0.0,,0.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,25,1,5.0,10.0,0,0,1,0.0,174.0,14.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0666666,1.0,1.0
6,644,0.0,,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,,0.0,1.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,,,,,,,2.0,,,,,,,2.0,,,,,,,25,1,,,0,0,1,0.0,174.0,14.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0666666,0.0,1.0
7,634,0.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,,0.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,25,1,10.0,7.0,0,0,1,0.0,176.0,14.666667,1.0,1.0,1.0,1.0,0.0,0.0,1.0666666,1.0,1.0
8,641,0.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0,,,0.0,1.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,25,1,,60.0,0,0,1,0.0,172.0,14.333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0666666,1.0,1.0
9,639,0.0,0.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,,0.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,25,1,,0.0,0,0,1,0.0,160.0,13.333333,1.0,1.0,0.0,0.0,0.0,0.0,-1.9333334,0.0,1.0
